name,type,ProductServices
Moore-Hill,Company,Unknown
Moore-Jensen,Company,Unknown
Moore-Jimenez,Company,"Motor vehicle parts and accessories, as well as other products"
Moore-Lee,Company,Unknown
Moore-Middleton,Company,Unknown
Moore-Miranda,Company,Unknown
Moore-Murphy,Company,Unknown
Moore-Osborn,FishingCompany,Fish and seafood products
Moore-Parsons,Company,"Producer of puzzles, award-winning board games, and engaging science and arts and crafts kits"
Moore-Ramirez,Company,Unknown
Moore-Rodriguez,Company,Unknown
Moore-Shah,Company,Unknown
Moore-Simon,FishingCompany,Fresh and frozen seafood
Moore-Ware,Company,"Specialises in delivering innovation and expertise through mutual funds, ETFs, alternative investments, Private Wealth Pools and managed solutions"
Mora Inc,Company,Unknown
Mora-Harrison,FishingCompany,Frozen seafood poducts
Morales and Sons,Company,Unknown
Morales Inc,Company,"Specialized in selling a wide range of non-durable goods ideal for various activities such as gardening, farming, construction and renovation, as well as for manufacturing industries"
Morales LLC,Company,"Specializes in the promotion of performing arts, sports, and similar events with facilities"
Morales Ltd,Company,Unknown
Morales PLC,Company,Unknown
"Morales, Bautista and Ross",Company,Unknown
"Morales, Campbell and Williams",Company,"Polyurethane reactive (PUR) hotmelt adhesives, hotmelt adhesives, solvent based adhesives, dispersion adhesives, condensation resin glues, primers, PUR adhesives, PUR assembly foams, sealants, and epoxides"
"Morales, Cardenas and Mcdowell",LogisticsCompany,"Power and high voltage, boxes and covers, cable ties and accessories, conduit and cable fittings, connectors - industrial power control, connectors - power and grounding, electrician supplies, hardware and closures, HVAC, lighting, metal framing and support systems, power distribution, power quality products and services, steel structures, terminals and lugs, connectors, markets and heatshrink, and wire management system"
"Morales, Collins and Manning",Company,"Standard and special bolting (fully threaded studbolts, nuts, and bars), and special pieces manufactured to customer's drawings"
"Morales, Gonzales and Barrera",Company,Unknown
"Morales, Gonzalez and Miller",Company,Sea food products
"Morales, Graham and Ford",Company,Unknown
"Morales, Harrison and Carter",Company,Unknown
"Morales, Johnson and Hunt",Company,Unknown
"Morales, Raymond and Wyatt",Company,"Mold, plastic injection, injection mould, die cast mould, die casting mold"
"Morales, Rivera and Hess",LogisticsCompany,"Air and ocean freight forwarding, customs brokerage, domestic distribution, customs bonded warehousing, NVOCC/TranSeas, ISF portal and shipment tracking, and regulatory and logistics compliance consulting services"
Morales-King,Company,"Truck casings, light truck casings, earthmover tires, as well as used tires, and other related products. It also deals used truck and light truck tires"
Morales-Smith,Company,Unknown
Morales-White,Company,"Stationery and chemicals products (glue pens, glue sticks, liquid glue, super glue, white glue, color glue, glitter glue, stick labels, power tacks, tempera paint, oil color, poster paint, oil crayons, acrylic color, Chinese painting color, poster color, correction fluid, erasers, chalk, and modeling clay)"
Morales-Wright,Company,Unknown
Moran Ltd,Company,Outdoor sportswear products
"Moran, Jordan and Anderson",Company,Unknown
Moreno Group,Company,Unknown
Moreno PLC,Company,Unknown
Moreno-Greene,Company,Fish and fish products
Moreno-Gross,Company,Food products
Moreno-Lopez,Company,Unknown
Moreno-Simmons,Company,Automobiles; Supplies and parts; Chemicals; Metals; Fuel; Steel
Moreno-Snyder,Company,"Gelatins and gelatin products, including certain medical products"
Moreno-Sullivan,Company,"Motorcycles, bicycles and parts"
Morgan and Sons,Company,Unknown
Morgan Group,Company,Unknown
Morgan LLC,Company,Unknown
Morgan Ltd,Company,Unknown
Morgan PLC,Company,Unknown
"Morgan, Bailey and Ward",Company,Unknown
"Morgan, Brown and Tran",Company,Unknown
"Morgan, Espinoza and Buchanan",Company,"Anchors, bolts, nuts, rivets, screws, studs, and washers"
"Morgan, Green and Evans",Company,Unknown
"Morgan, Guzman and Kirby",Company,Unknown
"Morgan, Hamilton and Hernandez",Company,"Preserved food (pickles, condiments, grilled, pate, apple vinegar, artichokes, mushrooms, anchovy, capers, olives in jar, olives in can, and olives in bowl)"
"Morgan, Henry and Garcia",Company,"Fresh and frozen fish, including whole fish (brill, dover sole, plaice, dab, yellow gurnard, langoustines, salmon, sea bass, turbot, and dorale royal); fillets (crab claws, cod fillets, dab fillet, dover sole fillet, flounder fillet, yellow gurnard fillet, monkfish tails, plaice fillet, and seabass fillet); as well as breaded products (cod burger, cod surfer, fishsticks, fish fillet crispy, hake burger, and gayi surfer)"
"Morgan, Johnson and Smith",LogisticsCompany,Provision of international shipping and logistical services
"Morgan, Kennedy and Cohen",Company,Unknown
"Morgan, Kim and Williams",Company,Unknown
"Morgan, Leon and Cameron",Company,Food products
"Morgan, Moss and Hunt",Company,"Fish, prawns, halibut, and other related products"
"Morgan, Rose and Schwartz",Company,Unknown
"Morgan, Scott and Graham",Company,Unknown
Morgan-Barnes,Company,Unknown
Morgan-Castillo,Company,Shrimpcakes; Crabcakes; Fishcakes; Chowders; Stews in raw or cooked frozen form
Morgan-Foster,FishingCompany,Frozen fish and seafood
Morgan-Jones,Company,Unknown
Morgan-Mason,Company,Unknown
Morgan-Nichols,Company,"Tropical drinks, powder drink mixes, tropical jam and jellies, macadamia nut chocolates, and coconut syrup, as well as promotional apparel"
Morgan-Stafford,Company,Unknown
Morris and Sons,Company,"Fabricated structural metal, specializing in structural steel building components and long-span series open web steel joists; Prefabricated metal buildings and components, specializing in buildings; Bolts, nuts, rivets and washers, specializing in metal bolts and metal screws"
Morris LLC,Company,Unknown
Morris Ltd,Company,Tea and coffee
Morris PLC,Company,Rail vehicles and railway equipment
"Morris, Huynh and Moody",Company,Holding services
"Morris, Leonard and Spencer",Company,Pet products
"Morris, Moore and Garrett",Company,"Offers a wide range of products such as fused white aluminum, brown aluminum, silicon, calcined aluminum, beryl, aluminum ore, titanium, and other related mineral products"
"Morris, Morales and Bailey",Company,Unknown
"Morris, Oconnor and Herrera",Company,Unknown
"Morris, Perez and Khan",Company,Unknown
"Morris, Ramos and Smith",Company,"Skincare and body care treatments and products, and make-up"
"Morris, Walker and Martin",Company,Unknown
Morris-Carroll,Company,Unknown
Morris-Hall,Company,Unknown
Morrison Inc,Company,Unknown
Morrison PLC,Company,"Offers Lutein, a carotenoid that provides a range of yellow shades; Canthaxanthin, which offers a range of orange to red shades; and Co-enzyme Q10, an antioxidant that provides protection from damages caused by free radicals; Provides Beta-carotene, a color pigment, which offers yellow and orange shades, and is found in fruits and vegetables; Apocarotenal that is used as a food colorant, and provides yellow and orange shades; and Lycopene, a carotenoid, which offers a range of red shades"
"Morrison, Miller and Santiago",Company,"Smoked salmon, smoked salmon spreads, pickled and marinated herring, shrimp cocktail, groundfish, caviar, lobster pÃ¢tÃ©, crab, and halibut"
"Morrison, Rodriguez and Pittman",Company,E-commerce based wholesaler
"Morrison, Sosa and Cooper",Company,Folders and stationery products
"Morrison, Thompson and Mitchell",Company,"Markets a wide range of products: from industrial chemicals, nylons/copolymers, fine chemicals or performance materials to industrial machines"
Morrison-Bradford,Company,Handles the administrative affairs and services of a holding company and assumes management services to its local group and units; Controls and coordinates the business of its associate companies and provides assistance to companies it holds an interest
Morrison-Hatfield,Company,Fabricated metal products
Morrison-Hines,Company,"Tuna, salmon, herring, shellfish, and groundfish products; flounder fillets, cornmeal pollock strips, burger, and tuna steak; frozen halibut steaks and fancy king crabs; canned sockeye salmon and frozen sockeye; cod, pollock, rockfish, flounder and sole"
Morrison-Zamora,Company,Unknown
Morris-Taylor,Company,"Food, apparel and home decorating items"
"Morrow, Bishop and Walton",Company,"Providing executive, legislative, and other general government support"
Morrow-Underwood,Company,Custom acrylic displays
Morse Group,Company,Unknown
Morse PLC,Company,Fashion for children
"Morse, Fox and Smith",Company,Unknown
"Morse, Silva and Johnson",Company,"Specialises in wholesaling a wide variety of wallcoverings, textiles, leathers and faux leathers"
Morse-Kelley,Company,Unknown
Morse-Wells,Company,Unknown
Morton LLC,Company,"Whole fresh fish, whole frozen fish and slices, frozen fillet, frozen shrimp, salted fish, gutted fish and fish into steaks"
Morton PLC,Company,"Cold and hot chamber aluminum, magnesium, and zinc alloy die casting"
Morton-Powell,FishingCompany,Fish and other seafood
Moses Ltd,Company,Unknown
"Moses, Green and Simmons",Company,Electronics and electrical equipment
Moses-Garcia,Company,Unknown
Moses-Sloan,Company,Unknown
Mosley and Sons,Company,Distilled potable alcoholic beverages
Moss and Sons,Company,Unknown
Moss Inc,Company,"Synthetic staple fibers yarn, man made fibers blended yarn and cotton yarn and fabrics"
Moss LLC,Company,Fusion technology lamellar graphite iron and nodular
"Moss, Schaefer and Simmons",Company,Unknown
Moss-Day,FinancialCompany,"Operates as an investment company that assists companies by providing them with financial resources for their growth, as well as by leveraging the expertise of its own promoters to sustain entrepreneurs and managements"
Moss-Frederick,Company,Footwear
Moss-Holmes,Company,Metal products; Electric components
"Moyer, Davis and Johnson",Company,Unknown
"Moyer, Mccarthy and Wright",Company,"Supplier to the automotive remanufacturing and repair/service markets with clutch components, control cables, engine parts, flywheels, mounts for engines and transmissions, ring gears, transmission parts, and water pump components, harmonic balancers and new clutch kits, in addition to automotive shop supplies and performance parts"
"Moyer, Richard and Larson",Company,Unknown
Moyer-Bird,LogisticsCompany,"Shipping of fine art, antiques and design furniture"
Moyer-Gordon,Company,Unknown
Moyer-Johnson,Company,"Instant adhesive, anaerobic adhesive, medical glue, nail and eyelash glue, UV glue, and acrylic structure glue"
Moyer-Ramirez,LogisticsCompany,Logistics services
Moyer-Sanchez,Company,Unknown
Moyer-Tate,Company,"Meat and animal by-products (chicken, turkey, and beef products)"
Moyer-Whitaker,Company,Unknown
"Mueller, Beck and Perez",Company,Unknown
"Mueller, Cameron and Burton",Company,"Knitwear, trousers, jackets, skirts, working clothes, sports wear, T-shirts, children's wear, and casual wear; Scarves, handkerchiefs, pouches, belts, and fashion accessories"
"Mueller, Cox and Ford",Company,Unknown
"Mueller, Diaz and Boyle",Company,"Provides steel castings and forgings for power generation, steel-making, chemical machinery, nuclear power-related machinery and equipment, and die material industries; pressure vessels, clad steel plates and pipes, and steel plates for oil refining, petrochemical, general chemical, and power generation industries; and wind turbine system equipment"
"Mueller, Fuller and Sutton",Company,Sealants and adhesives
Mueller-Hood,Company,"Insulation boards for roofs, walls, and floors; engineered timber systems; factory insulated timber frame systems; and HVAC, piping, and ductwork insulation systems; Renewable energy solutions, air source heat pumps, hot water systems, pollution control solutions, rainwater harvesting and sustainable drainage, environmental containers, and telementry and management solutions; Insulated roof and wall panels, integrated solar solutions, benchmark architectural faÃ§ade systems, controlled environments structural products and systems, steel framing systems, height safety solutions, and insulated door components; Access floor systems, data centre products, underfloor air solutions, and underfloor wire and cable solutions"
Mueller-Kim,Company,Unknown
Mullen LLC,Company,Unknown
"Mullen, Lester and Jones",Company,Unknown
Mullen-Olson,Company,Unknown
Mullins Inc,Company,"Offers one or two component polyurethane glues used mainly in mining and building industry to glue foamed polystyrene, wood and other materials; Elastomer tyre filling systems for heavy building and mining equipment; Prepolymers used for manufacturing elastomers applied during the production of industrial goods"
Mullins PLC,Company,Unknown
"Mullins, Buckley and Hahn",Company,Unknown
"Mullins, Orr and Miller",Company,Unknown
Mullins-Carrillo,FishingCompany,Pre-fried seafoods such as shrimp fritters; breaded such as ebi katsu; dried seasoned Shima-aji (okada); frozen conger eel fish and frozen leather jacket fish; and seasoning dried fish
Mullins-Hawkins,Company,"Food products including cookies, wafers, snacks, candies, lollipops, chocolate, pastries, chewing gum, ice cream and preserves"
Munoz and Sons,Company,Unknown
Munoz Group,Company,"Construction, mining, and utility equipment and industrial machinery"
Munoz Inc,Company,Unknown
Munoz LLC,Company,Unknown
Munoz Ltd,Company,Unknown
"Munoz, Fields and Hanna",Company,Unknown
"Munoz, Fowler and Ray",Company,Unknown
"Munoz, Garcia and Williams",Company,Unknown
"Munoz, Rojas and Walker",Company,Mechanical engineering and plant construction services
Munoz-Garza,Company,Unknown
Munoz-Rogers,Company,Quality custom cast products either as individual components or as part of an OEM (original equipment manufacturer) or existing assembly
Munoz-Stokes,Company,Unknown
Munoz-White,Company,"Edible crabs, clams, sea mussels, shrimps, clam meat, cockle meat, lobsters, mixed shell fish, sea mussel meat, shrimps meat, and surimi sticke; Broccoli , onion, carrots, legumes, peppers, and tomatoes"
Murillo Ltd,Company,Unknown
Murillo PLC,Company,Lubricating products
"Murillo, House and Green",Company,Unknown
"Murillo, Sullivan and Green",LogisticsCompany,Logistics services
Murillo-Becker,Company,Vacuum bagging and composite tooling materials for resin infusion and hand lay-up processing
Murphy and Sons,FishingCompany,Seafood products to retail trade and food service industries
Murphy Group,Company,Unknown
Murphy Inc,Company,"Textile products, handicrafts, mechanical and electronic equipment, clothing shoes and hats, building materials, auto parts and motorcycles"
Murphy LLC,Company,Unknown
Murphy PLC,Company,Maritime transport business
"Murphy, Davis and Steele",Company,Unknown
"Murphy, Griffith and Cobb",Company,Unknown
"Murphy, Guzman and White",Company,Unknown
"Murphy, Marshall and Pope",FishingCompany,"Preparation and packaging seafoods (Gathering and canning seafood, smoking, salting, and drying seafood, eviscerating fresh fish by removing heads, fins, scales, bones, and entrails, shucking and packing fresh shellfish, processing marine fats and oils and freezing seafood)"
"Murphy, Morales and Mendez",FishingCompany,"Fisheries, fishing; one of the largest offshore fishing management companies and employs over 200 individuals from all over the country. Check out our job opportunities"
"Murphy, Nichols and Garcia",Company,Unknown
"Murphy, Price and Spears",Company,"Chartering, consignment, customs, and forwarding services"
"Murphy, Reyes and Ray",LogisticsCompany,Specialized in the wholesale distribution of home furnishings and housewares
Murphy-Gomez,Company,Industrial filters and water well screens
Murphy-Lam,FishingCompany,"Fishmeal and fish oil; Seafood processing services; Reels, lightweight graphite rods, softbaits, saltwater squids, flicker shads, cardinals, and inshore rods for anglers"
Murphy-Mckinney,Company,"Food, non-food, and wine and spirits"
Murphy-Reid,Company,"Delivers its products to third-party customers and to more than 500 stores of its parent company, the largest supermarket chain in the country"
Murphy-Salazar,Company,Unknown
Murray Group,Company,"Dried, frozen, refrigerated, seasonal, canned and bottled products such as beverages, snacks, sauces, rice, noodles and other related grocery items"
Murray Inc,Company,Unknown
Murray LLC,Company,"Vehicles; Engines, gearboxes, and other parts"
Murray Ltd,Company,Unknown
"Murray, Cole and Cole",Company,Unknown
"Murray, Friedman and Wall",FishingCompany,"Canning of seafood, including soup; smoking, salting, and drying of seafoods; eviscerating of fresh fish by removing heads, fins, scales, bones, and entrails; shucking and packing of fresh shellfish; processing of marine fats and oils; and freezing of seafood"
"Murray, Rush and Walters",Company,Canned and cured fish and seafoods
"Murray, Sanchez and Morrison",Company,Unknown
"Murray, White and Patton",Company,Gasket
Murray-Chavez,Company,Unknown
Murray-Gaines,Company,Unknown
Murray-Gray,Company,Unknown
Murray-Hunt,FishingCompany,Seafood products
Murray-Jones,Company,"Agricultural production, processing, and trading"
Murray-Smith,Company,Unknown
Murray-Stanley,Company,"Range of navigational, measuring, electromedical, and control instruments"
Murray-Stone,Company,Unknown
Myers and Sons,Company,Unknown
Myers Group,Company,Fish and fish products
Myers LLC,Company,Unknown
Myers Ltd,Company,Unknown
Myers PLC,Company,Unknown
"Myers, Arias and Cruz",Company,Unknown
"Myers, Barnes and Lamb",Company,"Machines and complete lines for the cable manufacturing and rubber processing industries, comprising CV (continuous vulcanization) lines for cross-linked polyethylene and rubber cables, silane lines, sheathing and insulation lines; Cold feed, hot-feed and vertical extruders"
"Myers, Howard and Castillo",Company,Unknown
"Myers, Johnson and Meyer",Company,Unknown
"Myers, Peters and Thompson",LogisticsCompany,"Processing, canning and wholesale distribution of fish and fish products"
"Myers, Shelton and Garcia",Company,Unknown
Myers-Alvarado,Company,Unknown
Myers-Alvarez,Company,Unknown
Myers-Booth,Company,Unknown
Myers-Butler,Company,Advertising and marketing services
Myers-Colon,Company,Unknown
Myers-Contreras,Company,Machine tools and devices
Myers-Gonzalez,Company,Unknown
Myers-Jones,Company,Unknown
Myers-Mullen,Company,"Games and toys, different kinds of paper, stationery and printed products"
Myers-Rodriguez,Company,Unknown
Myers-Wilkerson,Company,Unknown
Nash LLC,Company,"Fish and fish products (fresh and frozen seafood and other aquatic products, and canned and cured fish and seafood)"
"Nash, Mueller and Russell",Company,"Flat panel display (LCD screen, LCD monitor, plasma display), digital TV (LCD electric plasma TV, video projector), display tube display and semi-finished products, kits and components"
Náutica del Sol Ges.m.b.H.,Company,"Manufacture and sale of canned and cured fish and seafoods, as well as other related products"
Navarro Inc,Company,Unknown
Navarro LLC,Company,Unknown
Navarro PLC,Company,Unknown
Navarro-Cochran,Company,Unknown
Navarro-Cook,Company,Unknown
Navarro-Gutierrez,Company,Gelatin
Navarro-Henry,Company,Unknown
Neal and Sons,Company,Unknown
Neal LLC,Company,Prepared pet foods (natural and fresh raw materials)
Neal-Holden,Company,Unknown
Neal-Valencia,Company,Unknown
Neal-Woodward,FishingCompany,Seafoods
Nelson Group,Company,"Mushi cake, japanese green tea, grain mix, seasoned squid, seasonings, frozen lychee, pickled plum with shiso, shelled edamame, and shiitake (dried mushroom)and shiitake (dried mushroom)"
Nelson Inc,Company,Unknown
Nelson LLC,Company,Unknown
Nelson Ltd,Company,"Acid resistant cements and coatings, as well as waterproofing, floor coating, tank linings and external coatings; Decorative floor finishes, car park deck coatings, self levelling floor finishes, heavy duty flooring, cement-based mortars, skim coats, floor hardeners and potable water tank coatings"
Nelson PLC,Company,Unknown
"Nelson, Carroll and Medina",Company,Unknown
"Nelson, Chambers and Garcia",Company,"Contract carpets and carpet tiles for commercial applications such as offices, public buildings, banks, schools, universities, retail shops and hospitals"
"Nelson, Graham and Fields",FishingCompany,Cooked seafood products
"Nelson, Hester and Keller",Company,Unknown
"Nelson, Johnson and Daniels",FishingCompany,Commercial fishing equipment
"Nelson, Johnson and Hart",Company,"Sauce and condiment, drinks, canned food, frozen fish and seafood and meat, noodles, rice products, dried food, dried spices, tea leaves, beverages and mix, snacks, preserved and pickled food, and ready to eat pouches"
"Nelson, Johnson and Robinson",Company,Unknown
"Nelson, Melendez and Graves",Company,"Industrial instruments and related products for measuring, displaying (indicating and recording), transmitting, and controlling process variables in manufacturing, energy conversion, and public service utilities"
"Nelson, Miller and Best",Company,Fabricated metal products
"Nelson, Morris and Preston",Company,Basic chemicals
"Nelson, Parks and Campbell",Company,Unknown
"Nelson, Roberson and Conner",Company,Unknown
"Nelson, Rodriguez and Rodriguez",Company,Unknown
"Nelson, Scott and Taylor",Company,"Industrial machineries, equipment and supplies"
"Nelson, Stanton and Malone",Company,Unknown
"Nelson, Sullivan and Alexander",Company,Premium and super premium fishmeal
"Nelson, Walker and Wilson",Company,Unknown
"Nelson, White and Moore",Company,Unknown
"Nelson, Wiggins and Young",Company,Hardwood floor finishing systems
"Nelson, Woods and Bell",LogisticsCompany,"Snap, pushbutton, and similar switches for electrical circuits; air circuit breakers, bus bar structures (switchgear-type), connectors, control panels (electric power distribution), cubicles (electric switchboard equipment), distribution boards, distribution cutouts, and ducts for electrical switchboard apparatus; Fuse clips and blocks, fuse mountings, electrical fuses, generator control and metering panels, knife switches, metering panels, panelboards, panels (generator control and metering, power circuit breakers, power connectors, power fuses (i600 volts and over), regulators, switching equipment, and time switches, among others"
Nelson-Black,Company,Lobster and crab products
Nelson-Crawford,FishingCompany,Salmon and seafood products
Nelson-Curtis,Company,Unknown
Nelson-Horn,Company,Embroidery machines
Nelson-Howard,Company,"Electric arc furnaces ( EAF), ladle refining furnaces (LF), continuous casting machines (CCM), rolling mills and melt shop auxiliary systems"
Nelson-Jackson,Company,Unknown
Nelson-Jones,Company,Dairy products
Nelson-King,Company,Unknown
Nelson-Lee,Company,"Knit and woven fabrics, interior fabrics, bedding, clothing, highly-functional textiles, dust-proof/flame-retardant fibers, non-woven fabrics and industrial special fabrics, PET films (polyethylene terephthalate), PC resins, and other chemical products"
Nelson-Leonard,Company,Chemicals and building materials
Nelson-Reid,Company,"Ready-mixed concrete; stone, sand, and gravel aggregates; building materials, such as rebar concrete block, wire mesh, color additives, curing compounds, grouts, and wooden forms; concrete masonry; and products and tools; Precast concrete structures, such as utility vaults, manholes and other wastewater management products, specialty engineered structures, concrete piles, retaining and other wall systems, custom designed architectural products, and other precast concrete products"
Nelson-Simpson,Company,Unknown
Nelson-Wells,Company,Unknown
Newman Ltd,Company,Unknown
"Newman, George and Patrick",Company,Unknown
"Newman, Johnston and Welch",Company,Unknown
"Newman, Kelly and Harris",Company,"Iron castings for automobile manufacturers, engine manufacturers and other industrial sector companies"
"Newman, Martinez and Carpenter",Company,"Materials for the ceramic, glass, and metal industry"
"Newman, Poole and Price",Company,"Power transmission, nylon core, drive, plastic, antimicrobial conveyor, woven, folder gluer and feeder, pull down, postal feeder, sausage, pick-off, engineered, vacuum, cooling, de-boning, and timing belts"
"Newman, White and Adams",Company,Unknown
Newman-Farley,Company,Unknown
Newman-Gregory,LogisticsCompany,"Barcode label printer, which includes portable and double sided printers; self service kiosks; POS compact touch PC; pillar kiosks; and entry and high speed kiosks printers to transport and logistics, retail, banking, and healthcare sectors; Complex printed circuit board assemblies (PCBA), full product assemblies across various product segments, systems integrations, complex test development services, and in house prototyping services; Engineering, GSA, product testing, and product safety services"
Newman-Wade,Company,Unknown
Newman-Wang,Company,"Stainless steel, aluminum and carbon steel"
"Newton, Doyle and Stewart",Company,Unknown
"Newton, Ramirez and Hartman",Company,Unknown
Newton-Kelly,Company,"Soy protein, soy fiber, soy oil, low-temperature soy flake, refined fish oil, nutraceuticals, and various kinds of soft capsules"
Newton-Mahoney,Company,Unknown
Newton-Martinez,Company,"Household products, stationery, gifts, home decorations, toys, party goods, electronics, computer peripherals, seasonal goods, and health and beauty products. Its product offerings include candy; electronics (lamp, clocks, personal care, CD, watches); fashion accessories (keychains, hair goods, summer goods, shoes); gift (photo frames, framed art, decoration); health and beauty care (bathroom accessories, bath products); household items (dinnerware, kitchen accessories, home textile, laundry accessories, bakeware, glassware, metalware, stoneware); travel accessories; optical goods; party goods (wedding decorations, party candle); pet supplies; seasonal goods; stationery; and toys"
Newton-Meyer,FishingCompany,Meat and seafood
Nguyen and Sons,Company,Unknown
Nguyen Group,Company,Real estate agents and managers
Nguyen Ltd,Company,Unknown
Nguyen PLC,Company,Unknown
"Nguyen, Brown and Roberts",Company,Unknown
"Nguyen, Houston and Byrd",Company,"Motorcycles, automobiles, boat engines, generators, spare parts and accessories"
"Nguyen, Marsh and Beck",Company,Unknown
"Nguyen, Marsh and Hall",Company,Unknown
"Nguyen, Mason and Armstrong",Company,Unknown
"Nguyen, Mccoy and Price",Company,Unknown
"Nguyen, Shelton and Hayes",Company,Fabricated metal products
"Nguyen, Thompson and Austin",Company,Telecommunications equipment
"Nguyen, Wallace and Lawson",Company,Unknown
Nguyen-Blankenship,Company,Unknown
Nguyen-Davis,Company,Unknown
Nguyen-Johnson,Company,Unknown
Nguyen-Moore,Company,Salmon and scallop products
Nguyen-Nelson,FishingCompany,Fresh and frozen seafood products
Nguyen-Parrish,FinancialCompany,Financial investment activities
Nguyen-Villarreal,Company,Electronic valves and tubes and other electronic components
Nichols Group,Company,Unknown
Nichols LLC,FishingCompany,"Marine fats and oils, packed and shredded crabs, shrimps, lobsters, oysters and clams, soups, stews, chowders, crabcakes, and shrimp cakes, and shellfish; Fresh and frozen seafood products"
Nichols PLC,LogisticsCompany,Freight transportation arrangement
"Nichols, Johnson and Franklin",Company,Unknown
"Nichols, Mckay and Young",Company,Promotional products [source: freelance researcher]
"Nichols, Mendoza and Middleton",Company,Chemicals and chemical products
Nichols-Becker,Company,Unknown
Nichols-Butler,Company,Construction materials
Nichols-Esparza,Company,Unknown
Nichols-Evans,Company,Unknown
Nichols-Moore,Company,Unknown
Nichols-Newman,Company,Auto parts and fittings
Nicholson and Sons,Company,Unknown
"Nicholson, Chapman and Mclaughlin",Company,Unknown
"Nicholson, Jones and Hughes",Company,"Clothing and footwear (men's and boys' cut and sew apparels; women's and girls' cut and sew apparels; men's and boys' cut and sew suits, coats and overcoats; men's and boys' cut and sew trousers, slacks and jeans; men's and women's footwear designed for dress, street, and work) "
"Nicholson, Smith and Farrell",Company,High quality doors
"Nicholson, Stokes and Ward",Company,"Footwear (badminton shoes, walking shoes, safety shoes, canvas shoes, football training shoes, cycling shoes, jogging shoes, golf shoes, leisure shoes, casual shoes, boots, and children's shoes)"
"Nicholson, Walker and Adams",Company,"Skin lotions, emulsions, creams, cleansings, essences, body products, children's cosmetics, and others; makeup products comprise makeup bases, foundations, concealers, two-way cakes, face powders, eye shadow products, mascaras, eye liners, lipsticks, primers, and BB creams; and oriental herb cosmetics consist of skin lotions, serums, and creams; Liquid perfumes, home fragrances, and other fragrant products; mask sheets comprise sheet masks, hydrogels, and local patches; and nail products consist of oily, UV gel, and water nails"
Nicholson-Smith,Company,Unknown
Nichols-Patel,Company,"Paper boxes, gift boxes, fabric boxes, jewel boxes, cosmetics boxes, chocolate boxes, desktop, stationery and printing boxes"
Nichols-Stokes,Company,Processing and selling frozen and breaded products
"Nielsen, Davis and Trujillo",Company,Processed meat as well as fresh and processed vegetables
"Nielsen, Lynch and Smith",Company,Unknown
"Nielsen, Valentine and Bell",FishingCompany,"Food, non-food, beverages, beauty and cosmetics, personal care, household cleaning, laundry detergents, prescription drugs, disposable nappies, and other related consumer products. Food products include meat, poultry, seafood, fruits, vegetables, breads, junk foods, processed food, and frozen foods"
Nielsen-King,Company,"Offers accessories, animal print, cracked ice fabrics, denim, fashionable novelty spandex, glisenette, hologram, ITY/rayon, lace, lame, lining, mesh/net (see through), metallic spandex, pleather, printed spandex, sequin fabrics, slinky, solid colors/nylon, solid colors/polyester, spacer (soft padding), stripes, suede, velvet, vinyl, and horse hair"
Nielsen-Norris,FishingCompany,Commercial fishing
Nixon Inc,Company,Unknown
Nixon LLC,Company,Unknown
"Nixon, Cobb and Hill",Company,Unknown
Nixon-Schroeder,Company,"Paint aerosols, touch up's, putties and paint products"
Nolan PLC,FishingCompany,"Seafood, meat, and poultry products"
"Nolan, Bond and Wall",Company,Unknown
"Nolan, Martin and Buck",Company,"System Specific Memory; System Specific Memory;  DataTraveler (USB Flash memory drives, perfect for data-storage mobility); compact cards for digital cameras; PDAs and MP3 players; photo/video SD cards for digital cameras, PDAs, MP3 players and cell phones; Mobile Phone, Media Player, PDA, and GPS; SSDs to improve computer's performance; Media Readers; and Specialty Build Memory"
"Nolan, Medina and Garcia",Company,Unknown
"Nolan, Stark and Joyce",Company,Unknown
Nolan-Jenkins,Company,Groceries and related products
Norman Inc,Company,Fashion slippers and related footwear products
Norman LLC,FishingCompany,Seafood products
"Norman, Walls and Wallace",Company,Unknown
Norman-Flynn,Company,Advanced thermal insulation products
Norman-Johnson,Company,Unknown
Norris Inc,LogisticsCompany,"Electric motors, motor controllers, chargers & dischargers, I/O & logic devices, integrated solutions and interface devices; Sales and distribution, technical support and troubleshooting, warranty analysis and remanufacturing"
Norris LLC,LogisticsCompany,"Specialized in producing a wide range of hybrid style adapters, 900 couplers, standard coupler couplers, ST style patch cords, LC style adapters, cables indoor distribution cables (riser-rated PVC), indoor distribution cables (LSZH) cables, MT-RJ style adapters, ST style adapters, and patch panels"
Norris Ltd,FishingCompany,"Frozen sushi items such as Tuna Saku AAA, Tuna Ground, Albacore Loin, Escolar Saku, Hamachi Fillet, Hamachi Loin, Tobiko, Izumidai IVP, Madako Whole (Steamed Octopus), Madako Slice (Poke Cut), Nobashi Tako, Snow Crab Meat, Oyster Half Shell, Oyster Meat, Hiyashi Wakame, Chuka Ika Sansai, and Shisamo; Korean seafood such as Croaker Yellow, Croaker BigHead, Pollack Fillet, Mackerel Pike, Ribbon Fish Fillet, Shisamo, Mussel Meat, Clam Arkshell Meat, Sea Squirt, Snail Meat, Seaweed Fulvescen, Seaweed Fulvescen, Tiny Oyster Meat, and Flying Squid"
"Norris, Harper and Bradley",Company,Groceries
Norton PLC,Company,Unknown
